"Part";"Value";"Device";"Package";"Description";"";
"R21";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R22";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R23";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R24";"820m";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R25";"200m";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R26";"10k";"TRIM_US-RJ9W";"RJ9W";"POTENTIOMETER";"";
"R27";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R28";"10k";"TRIM_US-RJ9W";"RJ9W";"POTENTIOMETER";"";
"R30";"820m";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R31";"200m";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R32";"10k";"TRIM_US-RJ9W";"RJ9W";"POTENTIOMETER";"";
"R36";"820m";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R37";"200m";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R38";"10k";"TRIM_US-RJ9W";"RJ9W";"POTENTIOMETER";"";
"R42";"820m";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R43";"200m";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R44";"10k";"TRIM_US-RJ9W";"RJ9W";"POTENTIOMETER";"";
"S1";"SHDN";"10-XX";"B3F-10XX";"OMRON SWITCH";"";
"TP1";"TPSQTP20SQ";"TPSQTP20SQ";"TP20SQ";"Test pad";"";
"TP2";"TPSQTP20R";"TPSQTP20R";"TP20R";"Test pad";"";
"TP3";"TPSQTP20R";"TPSQTP20R";"TP20R";"Test pad";"";
"TP4";"TPSQTP20R";"TPSQTP20R";"TP20R";"Test pad";"";
"U1";"RASPI_HAT";"RASPI_HAT";"RASPI_BOARD_B+HAT_CF";"";"";
"U2";"BLUEPILL";"BLUE_PILL";"BLUE_PILL";"";"";
"U3";"5VREG";"AP65450SP-13";"SO-8EP";"AP65450";"";
"U4";"DHT22";"TEMP-HUM-SENSOR-DHT22";"TEMP-HUM-SENSOR-DHT22";"DHT22 - digital humidity & temperature sensor";"";
"U5";"UV_OPAMP";"TA75S558F,LF";"SOT-753";"";"";
"U7";"AP3031KTR-G1";"AP3031KTR-G1";"SOT23-6";"AP3031 step-up LED driver chip for LEDs up to 1.4A";"";
"U9";"AP3031KTR-G1";"AP3031KTR-G1";"SOT23-6";"AP3031 step-up LED driver chip for LEDs up to 1.4A";"";
"U11";"AP3031KTR-G1";"AP3031KTR-G1";"SOT23-6";"AP3031 step-up LED driver chip for LEDs up to 1.4A";"";
"U13";"AP3031KTR-G1";"AP3031KTR-G1";"SOT23-6";"AP3031 step-up LED driver chip for LEDs up to 1.4A";"";
